"TerritorialAuthority","LocationType","Theft and Related Offences","Unlawful Entry With Intent/Burglary, Break and Enter","Acts Intended to Cause Injury","Sexual Assault and Related Offences","Robbery, Extortion and Related Offences","Abduction, Harassment and Other Related Offences Against a Person"
"Area Outside Territorial Authority.","Agricultural",1,1,0,0,0,0
"Area Outside Territorial Authority.","Agricultural Land",0,1,0,0,0,0
"Area Outside Territorial Authority.","Car Park",1,2,0,0,0,0
"Area Outside Territorial Authority.","Community Location N.F.D.",4,7,0,0,0,0
"Area Outside Territorial Authority.","Conveyance In Transit",4,1,3,1,0,0
"Area Outside Territorial Authority.","Dwelling - Non-Private",1,1,0,0,0,0
"Area Outside Territorial Authority.","Dwelling - Private",0,7,8,5,0,0
"Area Outside Territorial Authority.","Dwelling Land",5,1,5,0,0,0
"Area Outside Territorial Authority.","Dwelling N.F.D.",1,8,3,0,5,0
"Area Outside Territorial Authority.","Dwelling Outbuilding",0,2,0,0,0,0
"Area Outside Territorial Authority.","Not Applicable",1,0,0,0,0,0
"Area Outside Territorial Authority.","Open Space",52,2,11,3,0,0
"Area Outside Territorial Authority.","Other Location N.E.C.",1,6,0,0,0,0
"Area Outside Territorial Authority.","Other Location N.F.D.",5,3,0,0,0,0
"Area Outside Territorial Authority.","Public Place",180,7,33,8,2,1
"Area Outside Territorial Authority.","Recreational",12,3,6,1,0,0
"Area Outside Territorial Authority.","Retail N.E.C.",2,1,0,0,0,0
"Area Outside Territorial Authority.","Retail N.F.D.",1,0,0,0,0,0
"Area Outside Territorial Authority.","Street/Footpath",46,1,23,4,1,1
"Area Outside Territorial Authority.","Suppressed",22,0,14,4,1,0
"Area Outside Territorial Authority.","Terminal",2,0,0,0,0,0
"Area Outside Territorial Authority.","Unspecified Location",13,2,11,2,2,0
"Ashburton District.","Administrative/Professional",11,27,0,0,0,0
"Ashburton District.","Agricultural",23,109,4,0,0,0
"Ashburton District.","Agricultural Land",68,71,1,0,0,0
"Ashburton District.","Agricultural Outbuilding",42,203,4,0,0,0
"Ashburton District.","Banking",1,0,2,0,2,0
"Ashburton District.","Chemistry/Pharmacy",0,1,0,0,0,0
"Ashburton District.","Community Location N.E.C.",1,2,0,0,0,0
"Ashburton District.","Community Location N.F.D.",18,35,8,1,0,0
"Ashburton District.","Conveyance In Transit",7,1,13,2,1,0
"Ashburton District.","Dwelling - Non-Private",40,18,13,6,0,0
"Ashburton District.","Dwelling - Private",173,382,1042,153,15,6
"Ashburton District.","Dwelling Land",364,564,52,2,1,1
"Ashburton District.","Dwelling N.F.D.",178,183,249,52,5,0
"Ashburton District.","Dwelling Outbuilding",53,319,5,3,0,0
"Ashburton District.","Educational",58,80,35,8,0,0
"Ashburton District.","Health",7,14,3,3,0,0
"Ashburton District.","Justice",7,2,13,2,0,0
"Ashburton District.","Manufacturing",11,27,4,0,0,0
"Ashburton District.","Not Applicable",5,0,0,0,2,0
"Ashburton District.","Open Space",87,7,17,6,1,0
"Ashburton District.","Other Location N.E.C.",11,52,0,1,13,0
"Ashburton District.","Other Location N.F.D.",156,213,15,3,2,1
"Ashburton District.","Public Place",406,26,107,12,3,1
"Ashburton District.","Recreational",73,113,25,9,2,0
"Ashburton District.","Religious",2,21,1,0,0,0
"Ashburton District.","Residential Location N.F.D.",7,46,5,2,1,0
